Holes line,724,8,29,149,DJI_0003.JPG,4000,3000
Holes line,722,176,35,113,DJI_0003.JPG,4000,3000
Holes line,732,299,27,123,DJI_0003.JPG,4000,3000
Holes line,734,430,25,149,DJI_0003.JPG,4000,3000
Holes line,1236,8,33,626,DJI_0003.JPG,4000,3000
Holes line,1242,651,45,614,DJI_0003.JPG,4000,3000
Holes line,739,583,20,252,DJI_0003.JPG,4000,3000
Holes line,747,855,23,70,DJI_0003.JPG,4000,3000
Holes line,747,945,35,424,DJI_0003.JPG,4000,3000
Holes line,667,1160,27,96,DJI_0003.JPG,4000,3000
Holes line,661,843,31,299,DJI_0003.JPG,4000,3000
Holes line,661,784,23,31,DJI_0003.JPG,4000,3000
Holes line,653,526,29,229,DJI_0003.JPG,4000,3000
Holes line,646,176,29,331,DJI_0003.JPG,4000,3000
Holes line,636,4,35,155,DJI_0003.JPG,4000,3000
Holes line,558,9,29,566,DJI_0003.JPG,4000,3000
Holes line,384,5,33,630,DJI_0003.JPG,4000,3000
Holes line,477,7,19,352,DJI_0003.JPG,4000,3000
Holes line,424,1319,34,704,DJI_0003.JPG,4000,3000
Holes line,429,2047,36,659,DJI_0003.JPG,4000,3000
Holes line,360,2289,26,323,DJI_0003.JPG,4000,3000
Holes line,352,2128,31,101,DJI_0003.JPG,4000,3000
Holes line,345,1594,33,448,DJI_0003.JPG,4000,3000
Holes line,515,1748,26,158,DJI_0003.JPG,4000,3000
Holes line,571,652,24,112,DJI_0003.JPG,4000,3000
Holes line,585,870,21,146,DJI_0003.JPG,4000,3000
Holes line,587,1078,26,65,DJI_0003.JPG,4000,3000
Holes line,594,1205,39,903,DJI_0003.JPG,4000,3000
Holes line,611,2275,27,124,DJI_0003.JPG,4000,3000
Holes line,619,2912,29,82,DJI_0003.JPG,4000,3000
Holes line,618,2503,24,110,DJI_0003.JPG,4000,3000
Holes line,621,2793,24,58,DJI_0003.JPG,4000,3000
Holes line,695,2129,17,426,DJI_0003.JPG,4000,3000
Holes line,679,1585,27,444,DJI_0003.JPG,4000,3000
Holes line,673,1345,31,113,DJI_0003.JPG,4000,3000
Holes line,760,1374,24,601,DJI_0003.JPG,4000,3000
Holes line,770,2002,41,530,DJI_0003.JPG,4000,3000
Holes line,784,2570,31,419,DJI_0003.JPG,4000,3000
Holes line,853,1455,22,412,DJI_0003.JPG,4000,3000
Holes line,830,635,45,810,DJI_0003.JPG,4000,3000
Holes line,818,3,36,618,DJI_0003.JPG,4000,3000
Holes line,909,5,33,894,DJI_0003.JPG,4000,3000
Holes line,915,899,31,513,DJI_0003.JPG,4000,3000
Holes line,925,1407,33,194,DJI_0003.JPG,4000,3000
Holes line,932,1821,43,587,DJI_0003.JPG,4000,3000
Holes line,854,1906,31,86,DJI_0003.JPG,4000,3000
Holes line,863,2563,34,62,DJI_0003.JPG,4000,3000
Holes line,944,2423,48,570,DJI_0003.JPG,4000,3000
Holes line,1072,371,39,470,DJI_0003.JPG,4000,3000
Holes line,1035,2428,19,484,DJI_0003.JPG,4000,3000
Holes line,1019,1738,22,113,DJI_0003.JPG,4000,3000
Holes line,1012,1507,31,113,DJI_0003.JPG,4000,3000
Holes line,1011,1059,15,379,DJI_0003.JPG,4000,3000
Holes line,1083,858,38,597,DJI_0003.JPG,4000,3000
Holes line,1093,1472,36,405,DJI_0003.JPG,4000,3000
Holes line,1103,1918,22,31,DJI_0003.JPG,4000,3000
Holes line,1019,1913,29,510,DJI_0003.JPG,4000,3000
Holes line,1107,1963,33,388,DJI_0003.JPG,4000,3000
Holes line,1112,2419,41,580,DJI_0003.JPG,4000,3000
Holes line,1158,2,31,880,DJI_0003.JPG,4000,3000
Holes line,1168,904,31,547,DJI_0003.JPG,4000,3000
Holes line,1181,1474,22,563,DJI_0003.JPG,4000,3000
Holes line,1259,1280,39,774,DJI_0003.JPG,4000,3000
Holes line,1316,3,38,836,DJI_0003.JPG,4000,3000
Holes line,1328,854,33,324,DJI_0003.JPG,4000,3000
Holes line,1347,1536,19,436,DJI_0003.JPG,4000,3000
Holes line,1352,2083,27,297,DJI_0003.JPG,4000,3000
Holes line,1443,2505,26,106,DJI_0003.JPG,4000,3000
Holes line,1453,2649,31,343,DJI_0003.JPG,4000,3000
Holes line,1524,2380,36,606,DJI_0003.JPG,4000,3000
Holes line,1421,1440,41,649,DJI_0003.JPG,4000,3000
Holes line,1407,616,41,805,DJI_0003.JPG,4000,3000
Holes line,1402,0,34,611,DJI_0003.JPG,4000,3000
Holes line,1563,2,48,885,DJI_0003.JPG,4000,3000
Holes line,1482,2,47,910,DJI_0003.JPG,4000,3000
Holes line,1495,929,42,693,DJI_0003.JPG,4000,3000
Holes line,1506,1655,34,357,DJI_0003.JPG,4000,3000
Holes line,1516,2118,27,215,DJI_0003.JPG,4000,3000
Holes line,1605,2215,19,57,DJI_0003.JPG,4000,3000
Holes line,1605,2308,40,682,DJI_0003.JPG,4000,3000
Holes line,1691,2422,40,574,DJI_0003.JPG,4000,3000
Holes line,1677,1877,42,479,DJI_0003.JPG,4000,3000
Holes line,1577,889,34,1130,DJI_0003.JPG,4000,3000
Holes line,1664,948,42,910,DJI_0003.JPG,4000,3000
Holes line,1649,277,36,652,DJI_0003.JPG,4000,3000
Holes line,1643,2,38,272,DJI_0003.JPG,4000,3000
Holes line,1727,6,38,513,DJI_0003.JPG,4000,3000
Holes line,1742,540,30,469,DJI_0003.JPG,4000,3000
Holes line,1746,1028,30,389,DJI_0003.JPG,4000,3000
Holes line,1757,1440,27,424,DJI_0003.JPG,4000,3000
Holes line,1757,1892,51,462,DJI_0003.JPG,4000,3000
Holes line,1774,2388,25,116,DJI_0003.JPG,4000,3000
Holes line,1780,2542,28,452,DJI_0003.JPG,4000,3000
